Nombre de producto,Categoría,Modelo,Garantía,Características,Precio
Lenovo IdeaPad 3,Computadora,81X800ENAR,12 meses,"Intel i5, 8GB RAM, 512GB SSD, 15.6”, Windows 11",$480.000
HP Pavilion x360,Computadora,14-dw1005la,12 meses,"Intel i7, 16GB RAM, 1TB SSD, pantalla táctil, convertible",$720.000
ASUS VivoBook 15,Computadora,X515EA-EJ2311W,6 meses,"Intel i3, 8GB RAM, 256GB SSD, HDMI, USB-C",$395.000
Dell Inspiron 14,Computadora,5425-RY315W,12 meses,"AMD Ryzen 5, 16GB RAM, 512GB SSD, teclado retroiluminado",$610.000
Apple MacBook Air M1,Computadora,Z124000EY,12 meses,"Apple M1, 8GB RAM, 256GB SSD, macOS, pantalla Retina",$1.050.000
Samsung Smart TV 55” UHD 4K,Televisor,UN55AU7000KXZL,12 meses,"4K UHD, Tizen OS, HDR, 3 HDMI, 1 USB",$630.000
LG OLED 48” Smart TV,Televisor,OLED48A1PSA,12 meses,"OLED 4K, webOS, Dolby Vision, AI Picture",$1.020.000
TCL Android TV 50”,Televisor,50P635,6 meses,"4K HDR, Android TV, Google Assistant, Chromecast integrado",$510.000
Philips Smart TV 43” FHD,Televisor,43PFG5813/77,12 meses,"Full HD, Saphi Smart OS, HDR10, 2 HDMI, 1 USB",$300.000
Noblex 32” HD TV,Televisor,DK32X7100,6 meses,"HD Ready, HDMI, USB, control remoto simple",$195.000
